Player,Games Played,Win Rate,Kills/game,Deaths/game,Assists/game,CSM,GPM,EXPM,DPM,VSM,Objectives Stolen
Nikolicious,1,1,7,9,10,5.49,422.87,480.65,880.25,0.62,0
Remarque,1,0,8,4,10,7.19,417.74,474.29,510.35,0.96,0
ACEYUSI,1,1,8,3,10,7.79,447.75,441.56,745.32,0.65,0
spoko stary,1,0,3,6,8,6.01,379.31,405.41,517.71,0.89,0
Ive too much BE,1,0,10,10,14,6.33,435.28,499.12,660.73,0.57,0
Chairman Kogmao,1,1,6,13,11,4.18,375.6,384.72,502.52,0.6,0
