Player,Games Played,Win Rate,Kills/game,Deaths/game,Assists/game,CSM,GPM,EXPM,DPM,VSM,Objectives Stolen
SantaInt,1,1.0,4.0,6.0,21.0,1.26,374.02,459.0,823.67,1.89,0
JustKalii,4,0.25,2.5,8.75,16.0,0.8825000000000001,279.32,399.585,481.7425,2.3325,0
Krampus Dirwi,1,1.0,0.0,4.0,20.0,1.35,258.25,394.52,240.29,2.37,1
Reignover Fan,2,0.5,5.5,7.5,19.0,1.77,361.635,411.815,688.56,1.3199999999999998,0
