Player,Games Played,Win Rate,Kills/game,Deaths/game,Assists/game,CSM,GPM,EXPM,DPM,VSM,Objectives Stolen
1 eve 4 dogs,1,1,10,7,7,31.0,15048.0,16261.0,23606.0,32.0,0
TheRoonster,1,0,17,8,3,113.0,19839.0,18030.0,58115.0,8.0,0
1 eve 4 dogs,1,1,10,7,7,31.0,15048.0,16261.0,23606.0,32.0,0
TheRoonster,1,0,17,8,3,113.0,19839.0,18030.0,58115.0,8.0,0
1 eve 4 dogs,1,1,10,7,7,0.89,432.54,467.4,678.53,0.92,0
TheRoonster,1,0,17,8,3,3.25,570.25,518.25,1670.44,0.23,0
